trip_id,departure_at,arrival_at,route_name,vehicle_capacity,total_price,occupancy
8884,2017-11-01 09:00:00-06,2017-11-01 10:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8957,2017-11-02 17:00:00-06,2017-11-02 17:45:00-06,Centro - Ecatepec,18,63,6
8937,2017-11-02 19:00:00-06,2017-11-02 20:30:00-06,Polanco - Buenavista,20,62,5
8927,2017-11-02 16:00:00-06,2017-11-02 17:15:00-06,Del Valle - Nezahualcóyotl,19,65,6
8965,2017-11-02 20:00:00-06,2017-11-02 21:00:00-06,Santa Fé - Ixtapaluca,19,64,6
8901,2017-11-01 18:00:00-06,2017-11-01 19:30:00-06,Polanco - Buenavista,22,62,5
8951,2017-11-02 20:00:00-06,2017-11-02 20:45:00-06,Santa Fé - Iztapalapa,22,110,10
8928,2017-11-02 19:00:00-06,2017-11-02 20:15:00-06,Del Valle - Nezahualcóyotl,18,65,6
8907,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Iztapalapa - Santa Fé,19,110,11
8881,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ecatepec - Centro,22,63,5
8930,2017-11-02 18:00:00-06,2017-11-02 18:45:00-06,Centro - Ecatepec,18,63,6
8923,2017-11-02 11:00:00-06,2017-11-02 12:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8916,2017-11-01 16:00:00-06,2017-11-01 16:45:00-06,Centro - Ecatepec,22,189,14
